Source,Headline,Link
CNN,Aston Martin opens 66-story residential tower in Miami,/2024/05/02/style/aston-martin-tower-miami-scli-intl/index.html
CNN,The new 62-story tower set to transform New York City’s skyline,/2024/04/20/style/park-avenue-skyscraper-new-york-skyline-intl-scli/index.html
CNN,"Copenhagen stunned by devastating stock exchange fire, as police launch probe into blaze",/2024/04/17/style/copenhagen-stock-exchange-fire-police-investigation-intl/index.html
CNN,Champions League final: Real Madrid wins 15th European Cup with 2-0 win against Borussia Dortmund,/2024/06/01/sport/champions-league-final-borussia-dortmund-real-madrid-spt-intl/index.html
CNN,Simone Biles’ quest for record-extending 9th US Gymnastics Championship title begins,/2024/05/31/sport/simone-biles-day-1-us-gymnastics-championships-spt-intl/index.html
CNN,Caitlin Clark and Angel Reese face off in first WNBA game as Indiana Fever hold on to beat Chicago Sky in Commissioner’s Cup,/2024/06/01/sport/caitlin-clark-angel-reese-fever-sky-spt-intl/index.html
CNN,Nelly Korda and Lexi Thompson both miss cut at US Women’s Open,/2024/06/01/sport/nelly-korda-lexi-thompson-miss-cut-us-womens-open/index.html
NYT,The MorningMake sense of the day’s news and ideas.,https://www.nytimes.com/newsletters/morning-briefing
NYT,"The UpshotAnalysis that explains politics, policy and everyday life.",https://www.nytimes.com/newsletters/upshot
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,"The DailyThe biggest stories of our time, in 20 minutes a day.",https://www.nytimes.com/column/the-daily
NYT,The Run-UpOn the campaign trail with Astead Herndon.,https://www.nytimes.com/column/election-run-up-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,Morning Briefing: EuropeGet what you need to know to start your day.,https://www.nytimes.com/newsletters/morning-briefing-europe
NYT,The InterpreterOriginal analysis on the week’s biggest global stories.,https://www.nytimes.com/newsletters/the-interpreter
NYT,Your Places: Global UpdateThe latest news for any part of the world you select.,https://www.nytimes.com/newsletters/your-places-global-update
NYT,Canada LetterBackstories and analysis from our Canadian correspondents.,https://www.nytimes.com/newsletters/canada-letter
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,DealBookThe most crucial business and policy news you need to know.,https://www.nytimes.com/newsletters/dealbook
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,Hard ForkOur tech journalists help you make sense of the rapidly changing tech world.,https://www.nytimes.com/column/hard-fork
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,Read Like the WindBook recommendations from our critics.,https://www.nytimes.com/newsletters/read-like-the-wind
NYT,WatchingStreaming TV and movie recommendations.,https://www.nytimes.com/newsletters/watching
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,Book ReviewThe podcast that takes you inside the literary world.,https://www.nytimes.com/column/book-review-podcast
NYT,"PopcastPop music news, new songs and albums, and artists of note.",https://www.nytimes.com/column/popcast-pop-music-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,"Open ThreadThe latest news on what we wear, by our chief fashion critic.",https://www.nytimes.com/newsletters/open-thread-fashion
NYT,WellEssential news and guidance to live your healthiest life.,https://www.nytimes.com/newsletters/well
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,Modern LoveThe complicated love lives of real people.,https://www.nytimes.com/column/modern-love-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,"Matter of OpinionThoughts, aloud. With Michelle Cottle, Ross Douthat, Carlos Lozada and Lydia Polgreen.",https://www.nytimes.com/column/matter-of-opinion
NYT,"The Ezra Klein ShowDiscussions of ideas that matter, plus book recommendations.",https://www.nytimes.com/column/ezra-klein-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,"AudioPodcasts and narrated articles covering news, tech, culture and more.",https://www.nytimes.com/spotlight/podcasts
NYT,Download the Audio app on iOS.,https://www.nytimes.com/audio/app
NYT,See all audio,https://www.nytimes.com/spotlight/podcasts
NYT,The InterviewConversations with the world’s most fascinating people.,https://www.nytimes.com/column/the-interview
NYT,"The HeadlinesYour morning listen. Top stories, in 5 minutes.",https://www.nytimes.com/column/the-headlines
NYT,"Serial Season 4: GuantánamoWhat it was really like, from people who lived it.",https://www.nytimes.com/interactive/2024/podcasts/serial-season-four-guantanamo.html
NYT,AudioOur editors share their favorite listens from the New York Times Audio app.,https://www.nytimes.com/newsletters/audio
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,"GamesWord games, logic puzzles and crosswords, including an extensive archive.",https://www.nytimes.com/crosswords
NYT,Spelling Bee,https://www.nytimes.com/puzzles/spelling-bee
NYT,The Mini Crossword,https://www.nytimes.com/crosswords/game/mini
NYT,Wordle,https://www.nytimes.com/games/wordle/index.html
NYT,The Crossword,https://www.nytimes.com/crosswords/game/daily/
NYT,Vertex,https://www.nytimes.com/puzzles/vertex
NYT,Connections,https://www.nytimes.com/games/connections
NYT,Sudoku,https://www.nytimes.com/puzzles/sudoku
NYT,Letter Boxed,https://www.nytimes.com/puzzles/letter-boxed
NYT,Tiles,https://www.nytimes.com/puzzles/tiles
NYT,"GameplayPuzzles, brain teasers, solving tips and more.",https://www.nytimes.com/newsletters/gameplay
NYT,Easy ModeGet an easy version of one of the hardest crossword puzzles of the week.,https://www.nytimes.com/newsletters/easy-mode
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,"CookingRecipes, advice and inspiration for everyday cooking, special occasions and more.",https://cooking.nytimes.com/
NYT,"The Cooking NewsletterNew recipes, easy dinner ideas and smart kitchen tips from Melissa Clark, Sam Sifton and our New York Times Cooking editors.",https://www.nytimes.com/newsletters/cooking
NYT,The VeggieDelicious vegetarian recipes and tips from Tanya Sichynsky.,https://www.nytimes.com/newsletters/the-veggie
NYT,Five Weeknight DishesDinner ideas for busy people from Emily Weinstein.,https://www.nytimes.com/newsletters/five-weeknight-dishes
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,WirecutterReviews and recommendations for thousands of products.,https://www.nytimes.com/wirecutter
NYT,"The RecommendationThe best independent reviews, expert advice and intensively researched deals.",https://www.nytimes.com/newsletters/the-recommendation
NYT,Clean EverythingStep-by-step advice on how to keep everything in your home squeaky clean.,https://www.nytimes.com/newsletters/clean-everything
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,The AthleticPersonalized coverage of your sports teams and leagues.,https://www.nytimes.com/athletic/
NYT,"The PulseDelivering the top stories in sports, Sunday to Friday.",https://www.nytimes.com/athletic/newsletters/the-pulse/
NYT,"Scoop CityThe top stories in the NFL, from Jacob Robinson with Dianna Russini.",https://www.nytimes.com/athletic/newsletters/scoop-city/
NYT,"The WindupThe biggest stories in baseball, by Levi Weaver with Ken Rosenthal.",https://www.nytimes.com/athletic/newsletters/the-windup/
NYT,The Athletic FCRenowned soccer writer Phil Hay's daily newsletter unpacks the truth behind the game's biggest stories.,https://www.nytimes.com/athletic/newsletters/the-athletic-fc/
NYT,The MorningMake sense of the day’s news and ideas.,https://www.nytimes.com/newsletters/morning-briefing
NYT,"The UpshotAnalysis that explains politics, policy and everyday life.",https://www.nytimes.com/newsletters/upshot
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,"The DailyThe biggest stories of our time, in 20 minutes a day.",https://www.nytimes.com/column/the-daily
NYT,The Run-UpOn the campaign trail with Astead Herndon.,https://www.nytimes.com/column/election-run-up-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,Morning Briefing: EuropeGet what you need to know to start your day.,https://www.nytimes.com/newsletters/morning-briefing-europe
NYT,The InterpreterOriginal analysis on the week’s biggest global stories.,https://www.nytimes.com/newsletters/the-interpreter
NYT,Your Places: Global UpdateThe latest news for any part of the world you select.,https://www.nytimes.com/newsletters/your-places-global-update
NYT,Canada LetterBackstories and analysis from our Canadian correspondents.,https://www.nytimes.com/newsletters/canada-letter
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,DealBookThe most crucial business and policy news you need to know.,https://www.nytimes.com/newsletters/dealbook
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,Hard ForkOur tech journalists help you make sense of the rapidly changing tech world.,https://www.nytimes.com/column/hard-fork
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,Read Like the WindBook recommendations from our critics.,https://www.nytimes.com/newsletters/read-like-the-wind
NYT,WatchingStreaming TV and movie recommendations.,https://www.nytimes.com/newsletters/watching
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,Book ReviewThe podcast that takes you inside the literary world.,https://www.nytimes.com/column/book-review-podcast
NYT,"PopcastPop music news, new songs and albums, and artists of note.",https://www.nytimes.com/column/popcast-pop-music-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,"Open ThreadThe latest news on what we wear, by our chief fashion critic.",https://www.nytimes.com/newsletters/open-thread-fashion
NYT,WellEssential news and guidance to live your healthiest life.,https://www.nytimes.com/newsletters/well
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,Modern LoveThe complicated love lives of real people.,https://www.nytimes.com/column/modern-love-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,"Matter of OpinionThoughts, aloud. With Michelle Cottle, Ross Douthat, Carlos Lozada and Lydia Polgreen.",https://www.nytimes.com/column/matter-of-opinion
NYT,"The Ezra Klein ShowDiscussions of ideas that matter, plus book recommendations.",https://www.nytimes.com/column/ezra-klein-podcast
NYT,See all podcasts,https://www.nytimes.com/spotlight/podcasts
NYT,"AudioPodcasts and narrated articles covering news, tech, culture and more.",https://www.nytimes.com/spotlight/podcasts
NYT,Download the Audio app on iOS.,https://www.nytimes.com/audio/app
NYT,See all audio,https://www.nytimes.com/spotlight/podcasts
NYT,The InterviewConversations with the world’s most fascinating people.,https://www.nytimes.com/column/the-interview
NYT,"The HeadlinesYour morning listen. Top stories, in 5 minutes.",https://www.nytimes.com/column/the-headlines
NYT,"Serial Season 4: GuantánamoWhat it was really like, from people who lived it.",https://www.nytimes.com/interactive/2024/podcasts/serial-season-four-guantanamo.html
NYT,AudioOur editors share their favorite listens from the New York Times Audio app.,https://www.nytimes.com/newsletters/audio
NYT,See all newsletters,https://www.nytimes.com/newsletters
NYT,"GamesWord games, logic puzzles and crosswords, including an extensive archive.",https://www.nytimes.com/crosswords
NYT,Spelling Bee,https://www.nytimes.com/puzzles/spelling-bee
NYT,The Mini Crossword,https://www.nytimes.com/crosswords/game/mini
NYT,Wordle,https://www.nytimes.com/games/wordle/index.html
